ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
West Midlands ,E07000222,Warwick,"21,591","22,886","23,318","23,282","24,129","26,298","26,977","27,595","28,913","29,194","30,055","29,496","30,526","32,130","33,421","36,883","40,012","43,372","44,353","49,248","48,274","49,110","47,189","45,346","53,019","61,354"
West Midlands ,E06000020,Telford and Wrekin,"16,903","17,469","17,424","18,056","18,489","19,225","20,170","20,673","21,211","21,619","22,223","21,323","21,904","22,698","23,267","24,200","24,581","24,596","26,445","27,109","27,699","28,823","28,657","31,935","32,846","33,349"
West Midlands ,E06000051,Shropshire,"13,602","13,808","14,165","14,661","15,444","16,200","16,853","17,500","17,935","18,261","19,112","18,118","18,569","19,075","19,400","20,282","20,971","21,137","21,738","22,101","22,950","23,076","21,812","24,609","25,840","27,310"
West Midlands ,E06000021,Stoke-on-Trent,"12,960","13,153","13,537","14,017","14,736","15,549","16,591","17,328","17,963","18,577","19,572","19,181","19,528","20,273","20,696","21,446","21,628","22,047","21,941","23,189","24,615","25,431","24,956","27,768","27,536","29,631"
West Midlands ,E07000192,Cannock Chase,"13,460","13,631","14,061","14,751","15,461","16,044","16,621","17,507","17,910","18,305","18,610","17,118","17,780","18,357","18,860","19,672","20,501","21,631","22,061","24,282","25,078","24,830","22,652","24,948","25,631","27,612"
West Midlands ,E07000193,East Staffordshire,"23,252","23,623","24,129","24,199","25,599","26,578","28,693","29,802","30,170","30,018","30,860","27,883","29,876","31,320","31,459","31,982","31,894","32,808","32,759","31,546","32,286","33,564","30,034","34,535","35,837","37,779"
West Midlands ,E07000194,Lichfield,"14,150","14,648","15,043","15,707","16,711","17,611","18,410","18,905","19,410","19,717","20,476","19,212","19,924","20,269","21,250","22,077","23,316","25,315","26,199","27,173","25,863","26,915","25,569","29,081","30,220","31,600"
West Midlands ,E07000195,Newcastle-under-Lyme,"11,705","11,970","12,142","12,657","13,232","13,889","14,753","15,473","15,801","16,254","17,066","16,379","17,019","17,678","17,586","18,048","18,555","19,184","19,603","20,022","20,570","21,507","19,977","23,205","23,451","24,831"
West Midlands ,E07000196,South Staffordshire,"11,202","11,440","11,710","11,988","12,686","13,130","13,597","13,927","14,425","14,663","15,123","14,286","14,961","15,552","15,474","15,829","16,231","16,978","17,755","18,996","19,586","20,965","20,862","23,387","22,787","24,006"
West Midlands ,E07000197,Stafford,"15,547","15,702","16,364","17,004","17,738","18,583","19,011","19,461","20,181","20,774","21,646","21,132","22,002","22,421","22,729","23,682","24,686","25,210","26,377","27,152","27,300","27,735","26,179","29,266","29,234","30,486"
West Midlands ,E07000198,Staffordshire Moorlands,"10,827","11,066","10,984","11,126","11,653","12,422","13,101","13,425","13,912","14,348","14,852","13,619","14,531","15,183","15,384","16,939","17,359","16,800","16,787","17,914","18,989","19,062","17,760","20,664","21,105","22,618"
West Midlands ,E07000199,Tamworth,"12,164","12,536","12,817","13,403","14,026","14,778","15,706","16,337","16,728","17,156","17,429","16,167","16,790","17,317","16,655","17,017","17,928","19,478","20,388","22,597","24,367","24,686","23,381","28,324","28,631","28,219"
West Midlands ,E08000025,Birmingham,"15,106","15,662","16,181","17,023","17,557","18,469","19,552","20,295","20,724","21,627","21,773","21,202","21,779","22,099","22,422","23,284","24,040","24,580","25,450","25,899","26,821","27,372","25,733","28,235","30,629","33,362"
West Midlands ,E08000029,Solihull,"22,702","23,132","24,507","25,596","25,890","26,774","27,383","28,488","28,991","30,018","29,721","27,701","29,900","30,810","32,172","33,314","34,749","37,955","42,537","46,131","47,389","48,567","41,928","44,033","49,512","53,082"
West Midlands ,E08000026,Coventry,"17,656","18,138","18,760","19,609","20,025","20,979","22,131","23,365","23,573","24,745","25,327","24,967","26,006","26,249","26,713","27,122","28,903","30,108","32,394","31,619","31,903","32,560","29,962","32,390","33,728","35,719"
West Midlands ,E08000027,Dudley,"12,027","12,453","12,685","13,243","13,625","13,926","14,425","14,851","15,249","15,856","15,867","14,836","15,418","15,847","16,469","16,799","17,169","17,293","17,845","18,434","18,656","19,151","17,669","19,590","21,082","21,766"
West Midlands ,E08000028,Sandwell,"14,268","14,539","14,747","15,104","15,649","16,255","16,675","17,145","17,750","17,869","17,925","17,231","17,419","17,353","17,782","18,142","19,390","19,805","20,482","21,215","21,782","21,588","20,752","21,581","22,558","24,012"
West Midlands ,E08000030,Walsall,"11,753","12,074","12,313","12,715","13,030","13,552","14,110","14,610","14,839","15,298","15,399","14,388","15,070","15,864","16,428","17,292","18,252","18,481","19,192","19,308","19,252","19,162","17,516","19,663","20,717","21,986"
West Midlands ,E08000031,Wolverhampton,"13,715","14,367","14,839","15,566","16,055","16,579","17,266","17,992","18,452","19,058","19,304","18,177","18,595","19,277","19,126","19,279","19,525","18,842","19,995","21,111","22,114","22,716","21,108","23,634","25,381","26,574"
East ,E06000032,Luton,"17,050","17,692","19,186","20,033","20,591","21,637","22,116","22,767","23,279","24,459","25,302","23,140","23,146","22,987","23,547","25,515","27,709","28,566","28,640","30,197","30,457","31,481","26,371","28,066","31,250","33,128"
East ,E06000055,Bedford,"16,040","16,641","17,112","17,766","18,350","19,188","19,743","21,159","21,726","22,375","23,250","22,269","22,092","22,010","22,217","22,598","23,675","24,252","24,607","26,186","26,098","27,054","24,411","26,916","29,447","30,789"
East ,E06000056,Central Bedfordshire,"14,391","14,821","15,657","16,082","16,661","17,221","17,437","18,266","18,394","18,793","19,359","18,307","18,810","19,262","19,642","20,733","21,653","22,298","23,475","25,134","25,194","24,716","21,886","23,813","25,646","27,639"
East ,E07000095,Broxbourne,"17,916","18,928","19,557","20,085","20,437","21,785","22,061","23,543","24,618","25,759","28,084","26,350","25,459","25,411","26,389","27,367","28,639","28,195","25,836","26,777","27,015","26,794","24,641","27,146","28,094","29,370"
East ,E07000099,North Hertfordshire,"16,735","17,620","18,760","19,181","19,550","20,550","20,843","22,133","22,319","22,641","23,230","22,393","22,946","23,328","23,742","25,214","26,675","27,042","27,479","28,943","30,135","30,933","30,943","34,569","35,626","39,553"
East ,E07000241,Welwyn Hatfield,"26,166","27,993","28,868","30,150","31,423","32,785","33,759","35,772","35,625","36,309","37,053","34,356","33,431","31,808","32,078","34,312","36,465","36,640","36,824","40,622","43,264","50,416","50,056","54,503","54,705","57,811"
East ,E07000242,East Hertfordshire,"17,441","19,192","20,121","20,724","21,118","22,222","22,671","24,813","26,659","28,007","31,228","29,163","27,510","26,595","24,624","24,679","25,997","26,311","29,658","29,799","29,928","31,237","29,219","32,359","33,586","38,837"
East ,E07000243,Stevenage,"20,604","21,921","22,504","22,953","23,606","25,158","26,991","29,504","30,052","30,725","31,394","28,809","28,457","27,868","29,226","30,665","31,206","31,741","31,481","33,433","32,654","33,010","29,584","32,588","35,376","38,267"
East ,E07000096,Dacorum,"17,272","18,056","19,017","19,833","20,652","21,764","22,726","23,934","24,490","25,556","26,351","24,803","24,885","25,490","25,465","26,059","26,871","27,697","28,461","31,337","32,043","33,560","33,489","37,123","40,188","44,201"
East ,E07000098,Hertsmere,"22,253","23,312","23,835","24,992","25,152","26,650","28,186","30,339","30,470","31,749","32,830","32,526","31,692","31,700","32,617","34,702","36,513","37,380","40,258","43,913","44,023","44,491","42,103","49,531","51,336","52,155"
East ,E07000102,Three Rivers,"23,797","24,528","25,173","26,890","27,623","29,771","31,101","31,787","31,564","32,996","33,427","31,645","32,296","33,796","32,877","36,752","40,850","41,966","43,424","48,586","51,540","53,953","49,364","51,622","53,350","59,580"
East ,E07000103,Watford,"25,481","26,757","28,296","29,867","31,432","33,565","35,638","37,006","38,467","40,394","40,954","39,372","38,143","38,141","39,348","41,887","44,215","48,408","51,478","56,484","55,384","53,971","47,465","51,367","52,846","54,399"
East ,E07000240,St Albans,"17,286","17,867","19,172","19,728","20,475","21,153","22,476","23,753","24,042","24,911","25,240","23,388","23,982","24,122","24,135","25,061","26,347","29,864","30,881","32,373","33,096","34,272","32,100","34,825","38,271","39,056"
East ,E06000033,Southend-on-Sea,"10,803","11,311","11,896","12,718","13,228","14,237","14,941","15,314","16,134","16,614","16,847","16,526","16,743","16,775","17,246","17,394","17,866","18,017","18,569","19,710","20,281","19,881","17,777","20,010","20,716","21,938"
East ,E06000034,Thurrock,"17,001","16,808","16,828","17,781","17,871","20,103","20,701","21,651","22,186","22,828","22,872","22,216","22,769","21,795","22,354","21,764","23,067","24,392","24,464","26,961","27,947","28,424","26,629","30,046","34,732","37,515"
East ,E07000067,Braintree,"14,343","14,223","14,888","15,606","15,634","16,931","17,172","17,465","17,884","18,238","18,380","17,534","18,209","18,093","18,368","18,966","20,781","22,500","25,475","28,581","28,017","26,395","23,857","27,376","29,195","30,338"
East ,E07000071,Colchester,"14,607","14,778","15,676","16,774","17,295","18,638","18,969","19,461","20,044","20,697","20,998","20,671","21,421","21,799","22,627","22,727","23,344","24,462","25,045","26,385","27,327","28,468","25,361","28,071","30,288","33,374"
East ,E07000076,Tendring,"9,127","9,312","9,469","9,894","10,065","10,915","11,371","11,693","11,970","12,340","12,947","12,148","12,837","13,143","13,251","13,539","13,842","14,415","14,878","15,790","16,012","16,684","15,578","17,139","18,234","19,728"
East ,E07000072,Epping Forest,"15,857","16,529","17,275","18,575","19,675","21,385","21,950","22,543","23,791","24,995","25,032","24,548","25,788","25,634","25,349","25,174","26,228","28,749","31,198","33,495","34,162","34,211","30,299","34,045","36,714","37,420"
East ,E07000073,Harlow,"20,097","20,230","20,761","21,855","22,957","25,438","26,680","27,410","28,339","29,097","28,996","26,060","27,230","25,800","24,808","25,347","25,121","25,792","26,500","28,151","28,727","26,761","24,254","27,706","29,404","31,364"
East ,E07000077,Uttlesford,"18,463","19,555","20,668","21,515","22,199","23,781","24,052","24,711","24,946","25,666","26,030","24,947","25,766","25,787","26,275","27,994","28,351","29,076","29,608","30,700","31,183","32,336","27,664","31,414","35,456","39,587"
East ,E07000068,Brentwood,"20,865","21,348","23,108","25,203","25,881","27,762","27,807","28,835","30,207","31,812","31,684","30,484","31,378","31,243","29,679","30,624","36,219","41,406","42,578","46,695","48,588","49,393","40,761","44,940","49,533","49,277"
East ,E07000070,Chelmsford,"18,400","18,570","19,535","20,900","21,238","22,810","23,130","23,616","24,620","25,520","25,420","25,270","25,628","25,789","27,343","27,659","28,997","28,583","28,995","30,227","31,403","32,691","31,331","35,166","38,560","40,611"
East ,E07000074,Maldon,"12,044","12,148","12,647","13,138","13,458","14,487","14,680","14,853","15,384","15,625","16,281","15,343","16,237","16,584","16,812","17,483","17,904","18,200","18,769","20,144","20,136","20,791","19,406","20,926","22,635","23,434"
East ,E07000066,Basildon,"19,348","19,276","20,745","21,738","22,225","24,059","24,207","24,954","25,749","26,562","27,796","25,715","27,514","27,642","28,829","30,290","31,183","30,577","31,763","32,880","33,938","35,809","34,412","37,678","41,805","41,440"
East ,E07000069,Castle Point,"7,630","7,850","8,210","8,675","8,917","9,627","9,742","10,036","10,312","10,758","11,040","10,518","11,007","11,296","11,555","11,816","12,454","12,957","13,003","13,708","14,049","14,472","13,724","15,207","16,924","17,563"
East ,E07000075,Rochford,"10,121","10,369","10,777","11,170","11,176","11,963","11,999","12,303","12,622","12,788","13,114","12,393","12,691","12,984","13,793","14,578","15,061","15,900","16,615","17,129","17,456","18,346","18,009","19,518","22,276","28,406"
East ,E06000031,Peterborough,"22,474","23,439","23,644","24,663","25,075","25,754","27,192","29,450","32,064","32,158","31,025","28,177","28,669","29,281","29,521","29,012","30,688","29,549","30,948","33,561","35,453","33,710","32,764","34,919","36,372","39,935"
East ,E07000008,Cambridge,"24,014","25,311","26,705","28,683","29,861","31,116","32,609","33,634","36,669","38,919","40,168","40,690","40,657","40,998","42,320","43,314","43,460","44,665","45,272","47,250","46,895","50,029","50,898","52,596","57,077","62,848"
East ,E07000009,East Cambridgeshire,"14,722","15,109","15,550","16,275","17,513","17,305","17,370","18,095","18,711","18,897","19,751","19,225","19,353","19,946","20,125","20,737","21,582","22,181","23,039","24,151","24,676","26,727","26,564","26,541","26,948","28,990"
East ,E07000010,Fenland,"13,009","13,264","14,030","14,598","15,341","15,713","15,698","16,174","16,524","16,737","17,177","17,005","17,611","18,265","18,635","19,340","19,673","19,496","19,538","20,238","20,034","20,698","19,942","21,626","23,120","25,074"
East ,E07000011,Huntingdonshire,"15,373","16,155","16,790","17,589","18,200","18,973","19,233","20,126","21,387","22,097","22,565","22,144","23,140","23,484","23,728","23,970","25,066","25,589","27,021","27,972","28,368","30,437","28,862","29,937","31,147","33,625"
East ,E07000012,South Cambridgeshire,"19,879","20,857","21,744","22,466","23,582","24,200","25,168","25,930","27,412","28,308","28,853","27,729","28,832","29,020","30,936","30,924","31,346","32,872","33,922","35,901","36,656","37,909","37,986","39,938","43,722","45,880"
East ,E07000144,Broadland,"12,272","12,327","13,132","13,455","14,288","15,133","15,410","15,833","17,209","18,148","19,721","21,215","21,356","20,886","21,667","23,195","23,243","24,334","26,275","29,541","28,049","34,092","30,707","34,484","36,568","40,086"
East ,E07000145,Great Yarmouth,"11,974","12,240","12,832","13,348","13,956","14,606","15,279","15,579","16,756","17,158","18,042","17,791","18,163","18,723","20,539","20,712","21,278","20,976","19,480","19,565","19,069","20,392","19,185","20,994","24,782","26,968"
East ,E07000148,Norwich,"16,638","17,639","18,687","19,622","20,340","21,334","22,435","23,891","25,705","26,332","26,225","25,767","25,892","26,465","27,161","28,493","29,438","29,625","29,553","31,201","30,676","32,445","30,100","31,306","33,482","36,261"
East ,E07000146,King's Lynn and West Norfolk,"14,171","14,681","15,289","15,634","16,211","16,925","16,877","17,630","18,077","18,445","19,088","18,917","19,208","19,787","20,550","21,161","21,501","21,575","22,228","22,421","22,741","23,622","22,581","23,212","25,008","26,639"
East ,E07000147,North Norfolk,"10,266","10,572","11,129","11,582","12,233","12,678","12,905","13,466","14,068","14,449","15,063","14,585","14,875","15,188","15,536","15,722","16,548","16,813","17,236","17,756","17,910","18,221","17,592","18,996","20,027","21,479"
East ,E07000143,Breckland,"11,344","11,688","12,295","12,929","13,494","13,931","14,208","14,751","15,774","16,071","16,565","16,424","16,789","17,314","17,384","17,888","18,566","19,026","19,637","19,986","19,967","21,186","20,737","22,081","23,559","25,486"
East ,E07000149,South Norfolk,"13,478","14,196","15,053","15,547","16,130","17,026","17,640","18,370","19,359","19,712","19,788","19,106","19,523","19,919","20,818","21,246","21,809","21,681","22,049","22,491","22,393","23,479","23,009","24,417","26,507","28,888"
East ,E07000200,Babergh,"13,606","14,096","14,687","15,254","15,740","16,096","16,332","16,643","17,421","17,882","18,169","17,547","18,632","19,025","19,326","19,742","20,559","20,754","21,189","21,554","21,390","22,566","21,688","23,264","24,634","25,940"
East ,E07000203,Mid Suffolk,"13,969","14,345","15,214","15,540","16,336","16,845","17,056","17,490","18,053","18,378","19,024","18,429","18,804","19,274","19,892","20,282","21,016","21,671","22,404","23,623","24,780","25,814","24,506","25,588","27,317","29,523"
East ,E07000202,Ipswich,"19,079","19,975","20,574","21,300","21,802","22,919","24,303","26,146","28,482","28,559","27,867","26,546","25,734","25,739","26,414","27,905","29,389","30,223","31,904","32,271","32,759","34,228","33,501","33,489","36,540","42,528"
East ,E07000244,East Suffolk,"13,516","14,114","14,820","15,237","15,910","16,708","17,118","17,907","18,597","18,950","19,167","18,391","18,976","19,783","20,531","21,246","21,781","21,844","22,162","23,170","23,533","25,174","23,542","25,370","28,100","29,399"
East ,E07000245,West Suffolk,"17,290","18,191","19,197","20,897","21,664","22,158","22,709","23,567","25,225","25,812","26,792","26,371","26,767","27,235","28,244","29,507","29,829","31,077","32,818","33,655","34,043","35,381","32,295","33,791","35,799","36,610"
London,E09000013,Hammersmith and Fulham,"25,569","26,835","28,094","28,801","29,499","31,324","32,676","34,218","34,197","37,020","39,350","37,685","38,707","40,662","43,595","46,472","50,529","53,391","54,620","58,224","61,763","66,269","63,075","66,464","68,634","78,796"
London,E09000020,Kensington and Chelsea,"29,087","30,073","30,885","30,831","31,516","32,292","34,033","35,363","37,575","42,238","45,208","42,337","44,059","47,871","55,096","60,765","65,424","66,218","67,629","69,102","74,954","72,067","62,249","67,028","80,303","83,471"
London,E09000032,Wandsworth,"13,812","14,855","15,611","16,277","16,837","17,432","17,982","18,872","19,459","20,899","21,299","19,880","20,238","21,097","22,495","23,381","24,912","26,290","26,484","25,980","26,463","26,301","23,101","25,561","28,336","31,224"
London,E09000001,City of London,"4,286,892","3,797,234","4,005,201","3,787,668","4,002,400","4,429,235","4,756,755","5,397,439","5,947,807","6,273,781","6,278,668","6,609,546","7,216,740","7,317,939","7,210,471","7,681,242","8,097,709","8,075,320","8,648,264","8,999,594","9,206,384","9,079,433","9,938,268","10,593,147","8,669,021","8,228,049"
London,E09000033,Westminster,"145,453","151,090","159,925","159,719","161,525","167,146","171,302","180,063","187,486","209,584","220,539","217,057","227,054","232,316","245,094","262,494","284,473","282,611","319,262","335,888","350,454","368,950","347,133","386,071","433,149","459,185"
London,E09000007,Camden,"57,804","59,643","62,909","63,882","65,554","69,884","73,934","78,222","80,782","88,402","92,192","90,204","91,930","94,242","97,732","104,783","115,925","133,914","150,021","157,890","163,620","165,446","139,607","160,658","180,219","188,289"
London,E09000012,Hackney,"14,318","15,001","15,845","16,341","16,736","17,694","18,375","19,512","20,007","21,221","21,424","20,542","21,302","22,430","22,749","23,301","25,373","26,232","27,496","29,694","33,106","37,898","37,859","42,085","48,251","54,199"
London,E09000025,Newham,"13,231","13,485","14,111","14,518","14,785","15,479","16,061","16,982","17,243","17,870","18,148","16,906","17,143","17,591","18,607","18,966","19,515","20,090","20,429","21,412","21,703","22,559","20,681","22,748","25,255","26,862"
London,E09000030,Tower Hamlets,"68,096","68,199","74,777","74,365","75,466","79,830","84,767","93,915","100,973","108,531","109,501","110,188","111,366","117,261","112,391","114,813","119,044","118,518","123,429","131,331","125,701","122,208","117,237","116,995","126,019","140,524"
London,E09000014,Haringey,"9,930","10,549","11,059","11,602","11,875","12,329","12,798","13,385","13,424","14,310","14,099","13,158","13,919","14,533","15,090","14,911","16,028","16,526","16,166","16,968","17,620","17,905","16,062","17,855","20,596","21,277"
London,E09000019,Islington,"42,962","45,753","50,096","51,070","52,748","55,522","58,451","61,502","63,749","69,307","72,011","69,746","71,618","73,387","74,699","79,453","84,302","87,112","88,266","88,920","93,767","95,712","88,248","97,646","116,943","123,409"
London,E09000023,Lewisham,"8,342","8,738","9,216","9,803","10,214","10,996","11,418","12,057","12,482","13,204","13,351","12,410","12,961","13,671","14,181","14,167","14,827","15,087","14,915","14,920","15,077","15,360","14,266","14,921","16,109","16,866"
London,E09000028,Southwark,"29,435","30,652","33,343","33,990","35,215","37,112","38,819","41,428","42,210","46,054","47,807","47,239","49,745","53,987","55,762","56,812","55,566","58,994","62,201","63,493","68,488","72,156","65,659","69,660","77,638","86,386"
London,E09000022,Lambeth,"19,503","20,698","22,362","23,530","23,957","25,443","26,689","28,678","28,962","31,842","33,285","31,881","34,235","35,841","35,904","33,822","37,714","38,564","40,145","40,963","42,038","41,980","37,215","42,897","50,556","52,039"
London,E09000004,Bexley,"15,956","16,766","17,347","18,042","18,714","19,646","20,069","21,014","22,023","23,001","23,310","21,938","22,426","22,734","24,318","26,693","26,913","27,752","28,991","28,168","28,224","28,898","25,919","27,351","28,870","30,178"
London,E09000011,Greenwich,"13,978","14,847","15,233","15,499","15,994","16,768","17,430","18,189","19,029","19,592","19,844","18,213","19,075","19,473","19,561","19,935","20,532","20,746","21,268","22,288","22,803","23,710","20,332","22,177","24,991","25,475"
London,E09000002,Barking and Dagenham,"16,370","16,089","15,901","15,719","15,645","16,186","16,994","17,090","18,621","19,356","19,358","17,460","18,935","19,199","19,773","20,937","20,734","20,043","19,102","18,769","19,000","19,117","16,355","18,841","20,969","22,104"
London,E09000016,Havering,"15,060","15,821","16,494","17,136","17,751","18,804","19,461","20,397","21,407","22,335","21,842","20,004","20,617","20,683","22,021","22,496","23,495","23,781","24,431","24,664","25,458","25,877","23,648","26,840","30,508","31,165"
London,E09000026,Redbridge,"12,585","13,281","13,776","14,093","14,653","15,381","16,081","16,637","17,363","17,796","17,472","15,822","16,171","16,360","17,319","17,487","17,674","18,398","18,718","19,042","19,255","18,781","16,691","18,859","21,091","22,456"
London,E09000031,Waltham Forest,"10,901","11,596","12,026","12,515","13,068","13,850","14,428","15,069","15,696","16,184","15,624","14,009","14,352","14,624","15,537","15,820","16,544","17,172","17,451","17,672","18,030","18,499","16,202","18,022","20,705","22,181"
London,E09000010,Enfield,"15,780","16,538","17,133","17,713","18,319","19,544","20,371","21,093","22,240","23,208","22,747","20,481","21,438","21,526","22,109","22,662","23,468","24,373","24,803","24,800","26,436","27,217","24,628","27,115","29,108","29,984"
London,E09000006,Bromley,"17,123","17,995","18,286","18,797","19,801","21,058","21,984","22,807","24,301","25,173","24,832","23,014","23,595","24,067","24,955","25,486","25,643","25,836","26,897","27,744","28,192","27,579","24,789","25,508","28,618","30,010"
London,E09000008,Croydon,"17,045","18,034","18,905","19,481","20,038","21,243","22,062","23,106","23,907","25,377","24,833","23,361","23,142","22,982","23,183","23,415","25,367","25,402","25,845","26,494","28,355","29,667","27,430","29,246","32,665","34,353"
London,E09000021,Kingston upon Thames,"20,383","21,348","22,277","22,706","23,456","24,784","25,850","26,740","27,910","29,603","29,747","27,847","28,031","28,451","28,746","28,481","30,454","30,541","33,796","33,947","34,792","35,068","30,667","30,283","34,332","36,814"
London,E09000024,Merton,"18,986","19,958","20,480","20,723","21,121","22,152","22,930","23,876","24,687","25,874","25,794","23,519","24,279","24,893","25,577","26,803","28,376","28,714","29,271","28,965","29,306","30,131","26,955","29,703","32,291","35,269"
London,E09000029,Sutton,"15,509","16,289","17,140","17,549","18,169","19,157","19,909","20,817","21,778","22,904","22,791","20,792","21,323","21,635","22,093","22,167","23,022","22,808","23,661","24,090","23,933","24,213","21,921","23,697","26,942","29,323"
London,E09000003,Barnet,"15,460","16,345","16,874","17,267","18,020","19,018","19,647","20,280","21,464","22,230","21,770","20,236","20,805","21,137","22,485","22,738","23,822","24,357","25,082","25,249","25,821","26,147","24,591","26,741","30,445","31,118"
London,E09000005,Brent,"17,475","18,851","19,468","19,759","20,471","21,324","21,799","22,756","23,722","24,174","23,592","21,601","22,088","22,318","23,682","24,434","26,115","27,088","27,959","28,164","27,905","29,163","26,810","28,561","32,079","33,670"
London,E09000009,Ealing,"17,906","18,709","19,396","19,855","20,346","21,459","21,963","22,595","23,634","24,580","24,324","22,271","22,885","23,412","24,728","25,809","27,391","28,233","29,202","28,620","28,792","28,499","26,979","27,624","30,155","30,308"
London,E09000015,Harrow,"14,616","15,443","15,831","16,275","16,923","17,998","18,505","18,795","19,565","20,475","20,118","18,274","19,041","19,493","19,798","20,030","21,371","22,113","22,825","23,170","23,396","23,535","20,929","22,854","24,975","26,635"
London,E09000017,Hillingdon,"38,425","40,257","42,001","42,262","42,757","44,452","45,992","47,268","47,681","49,246","48,432","43,303","44,900","46,403","46,082","47,982","51,731","51,632","49,764","51,743","52,408","52,523","38,725","39,571","47,020","48,916"
London,E09000018,Hounslow,"31,818","33,878","36,474","37,756","38,861","40,082","40,392","41,779","46,023","48,721","50,906","48,364","49,239","49,619","51,527","55,314","58,990","61,197","63,820","63,871","62,058","63,819","48,041","47,704","58,968","61,069"
London,E09000027,Richmond upon Thames,"21,212","22,178","23,349","23,853","24,287","25,213","26,009","26,983","28,336","30,094","29,999","28,533","28,519","29,326","31,222","31,934","32,768","34,728","36,808","38,613","42,233","41,685","36,194","38,215","42,431","43,282"
South East ,E06000042,Milton Keynes,"27,343","27,914","29,290","30,749","32,614","34,960","34,722","35,860","37,052","38,440","38,924","36,768","37,877","38,867","39,317","40,724","44,404","48,543","47,149","50,601","52,115","53,137","50,339","53,019","58,023","59,940"
South East ,E06000060,Buckinghamshire,"19,441","20,278","21,227","21,913","22,594","23,598","23,878","24,991","25,642","26,626","27,730","26,852","27,109","28,098","28,480","29,080","29,743","29,761","30,135","30,443","31,386","33,544","32,153","33,795","35,600","37,698"
South East ,E07000177,Cherwell,"21,118","21,762","22,491","23,064","23,924","24,555","24,700","25,449","25,830","26,907","28,235","27,006","27,758","28,510","29,357","30,187","32,107","32,395","32,751","33,193","34,227","36,243","35,598","35,715","37,802","40,539"
South East ,E07000178,Oxford,"20,795","21,625","23,193","24,707","26,699","27,987","28,713","28,944","30,309","31,624","34,041","33,437","34,503","35,254","35,977","37,015","39,784","40,453","40,686","40,870","42,569","46,190","47,160","50,108","55,275","55,374"
South East ,E07000179,South Oxfordshire,"18,879","19,668","20,218","20,101","21,294","22,340","22,282","23,370","23,789","24,792","25,398","24,243","25,231","26,233","26,319","27,706","28,758","30,705","28,330","29,426","30,382","33,123","34,156","34,063","35,339","36,407"
South East ,E07000180,Vale of White Horse,"21,678","22,221","22,953","23,398","24,579","25,896","26,182","27,614","28,365","29,610","31,030","30,414","31,446","32,441","34,263","35,281","34,832","35,649","34,531","35,447","36,534","36,499","38,220","38,306","43,233","44,434"
South East ,E07000181,West Oxfordshire,"17,103","17,254","18,067","18,654","19,750","20,180","20,008","20,794","21,293","22,058","23,437","22,262","22,823","23,769","24,253","24,808","26,070","26,448","27,146","27,706","29,264","31,022","29,879","29,825","32,302","34,492"
South East ,E06000036,Bracknell Forest,"26,386","27,674","28,728","29,954","31,772","34,007","33,902","35,305","36,405","38,341","39,657","38,434","39,743","41,263","42,363","42,247","42,861","45,518","43,729","45,829","46,610","46,994","42,975","44,528","44,719","46,508"
South East ,E06000039,Slough,"39,775","42,788","45,881","46,386","48,234","51,192","52,442","53,883","54,668","55,636","56,129","54,108","53,690","55,411","54,527","55,402","56,591","54,716","55,047","54,127","56,039","58,821","61,866","63,772","66,178","71,165"
South East ,E06000040,Windsor and Maidenhead,"27,261","28,875","29,969","30,958","32,190","34,478","34,698","36,361","36,923","38,343","39,517","38,737","39,206","40,877","42,198","44,768","44,711","46,692","49,397","53,696","54,011","53,423","51,277","53,681","55,122","56,045"
South East ,E06000037,West Berkshire,"27,738","29,876","31,667","31,889","33,038","34,417","35,585","37,632","39,036","40,060","40,775","39,585","40,039","42,040","44,862","45,816","45,556","48,657","48,283","48,239","50,744","56,091","58,286","57,401","56,119","62,603"
South East ,E06000038,Reading,"26,598","29,099","31,457","31,357","32,072","34,159","36,232","38,204","39,193","40,530","41,982","42,329","41,792","43,336","44,793","44,670","46,930","46,257","47,657","47,224","51,743","52,684","50,383","54,432","59,000","65,090"
South East ,E06000041,Wokingham,"20,959","22,352","22,825","23,526","24,958","27,727","28,664","30,391","31,925","33,860","34,169","33,516","34,247","35,846","36,918","35,042","38,275","38,542","39,944","41,907","45,595","50,575","51,550","53,067","54,683","59,523"
South East ,E06000043,Brighton and Hove,"15,275","16,204","16,982","18,065","18,796","19,478","20,265","21,345","22,672","23,292","24,114","23,798","23,833","24,258","25,909","27,446","28,655","29,393","30,759","32,223","33,289","35,207","34,343","37,501","43,032","47,461"
South East ,E07000061,Eastbourne,"12,046","12,694","13,248","13,855","14,439","14,993","15,218","15,807","16,414","16,792","17,582","17,065","17,448","17,888","17,748","18,044","18,486","18,311","20,033","20,813","20,977","22,195","22,185","23,589","24,720","26,035"
South East ,E07000062,Hastings,"10,713","10,896","11,171","11,546","12,193","12,615","13,166","13,487","14,058","14,312","15,281","14,881","15,366","16,082","15,980","16,175","17,028","17,671","18,882","19,260","19,404","20,346","19,639","21,229","22,276","24,298"
South East ,E07000063,Lewes,"11,906","12,313","12,891","13,565","13,865","14,409","14,591","15,268","15,759","16,157","16,968","16,172","16,408","16,528","16,583","17,167","17,848","18,951","19,532","20,453","21,434","22,357","22,319","22,736","25,416","27,894"
