ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
North West ,E06000009,Blackpool,"10,409","10,842","11,102","11,662","12,320","13,303","14,267","14,768","15,160","15,509","15,631","14,984","15,843","16,258","16,654","16,955","17,539","18,412","19,382","20,448","21,340","22,895","21,446","22,965","25,637","26,598"
North West ,E07000121,Lancaster,"13,218","13,541","13,290","13,591","14,649","16,193","17,260","18,544","19,762","20,604","20,863","18,739","18,676","18,947","19,574","20,872","21,202","22,482","22,439","22,825","22,927","23,984","23,703","24,624","27,182","30,570"
North West ,E07000128,Wyre,"9,781","10,193","10,394","10,568","11,058","11,984","12,487","12,675","12,851","13,109","13,599","12,977","13,532","14,099","14,487","15,002","15,542","17,606","17,991","18,028","18,704","19,354","17,371","19,041","20,695","21,364"
North West ,E07000119,Fylde,"25,341","27,488","28,993","30,562","30,739","33,184","36,108","37,723","37,931","39,143","39,901","36,315","35,486","35,497","35,757","36,188","33,312","35,224","37,587","38,927","36,030","36,915","33,927","36,495","40,455","43,445"
North West ,E07000123,Preston,"18,597","19,523","20,094","21,028","22,333","23,748","24,852","25,230","25,786","26,889","26,541","26,608","27,654","27,825","29,298","28,849","30,207","31,589","33,701","33,663","33,951","34,614","31,539","34,791","37,308","39,503"
North West ,E07000124,Ribble Valley,"21,230","22,215","22,795","23,631","24,152","25,852","27,494","28,221","28,414","28,916","29,382","26,494","26,532","28,381","29,403","31,993","33,133","34,014","32,522","33,108","32,749","30,272","32,215","37,385","37,243","38,033"
North West ,E07000126,South Ribble,"20,316","20,626","21,312","21,569","22,608","24,295","25,298","25,688","25,458","27,354","27,882","25,938","26,542","27,420","28,468","29,953","32,367","33,821","35,227","36,240","35,764","36,630","37,269","41,246","43,807","45,918"
North West ,E07000117,Burnley,"12,546","13,344","13,736","14,096","14,620","15,759","16,587","17,223","17,837","18,759","19,050","18,330","19,406","20,120","20,962","20,971","22,027","21,999","22,978","23,740","25,212","24,675","23,595","25,854","28,149","28,072"
North West ,E07000120,Hyndburn,"11,608","12,258","12,051","12,318","12,877","13,404","14,142","14,573","14,881","15,746","16,293","15,558","16,395","17,207","18,077","18,490","18,960","19,461","20,938","21,092","19,512","20,566","19,119","21,536","22,861","24,524"
North West ,E07000122,Pendle,"13,711","14,670","14,904","15,192","15,582","16,776","17,762","18,545","18,787","19,140","18,935","16,772","17,241","18,214","18,607","18,208","18,894","19,155","20,106","20,855","22,006","21,779","19,771","21,779","22,305","24,124"
North West ,E07000125,Rossendale,"11,133","11,494","11,715","11,827","12,457","13,308","13,871","14,055","14,281","14,785","14,888","14,366","14,988","15,542","15,333","15,776","16,734","17,574","17,434","17,422","17,271","17,854","16,264","18,522","20,017","21,634"
North West ,E07000118,Chorley,"11,798","12,290","12,709","13,229","14,041","14,867","15,452","15,676","15,962","16,646","17,035","16,424","17,267","17,450","17,604","17,582","18,036","18,617","19,397","19,570","20,288","22,145","20,482","23,666","25,171","27,305"
North West ,E07000127,West Lancashire,"13,255","13,855","14,009","14,330","15,132","16,039","16,945","17,131","17,431","18,254","18,815","18,686","19,554","20,122","20,168","20,331","21,554","21,809","23,774","24,813","25,518","26,652","25,582","28,273","30,748","33,703"
North West ,E06000007,Warrington,"21,224","21,602","22,619","24,686","25,719","26,577","27,541","29,062","30,156","31,486","30,939","29,162","29,810","30,455","31,169","32,514","34,094","35,637","37,208","39,748","40,103","42,773","42,285","44,725","48,938","54,025"
North West ,E06000049,Cheshire East,"18,737","19,724","20,481","23,528","24,195","23,379","25,837","27,228","28,970","29,414","29,027","28,090","29,251","30,713","32,134","32,857","34,639","35,901","38,753","38,392","39,251","40,220","38,501","38,347","42,288","45,078"
